类目,标题,链接,数据源
连衣裙,"未命名 1R抵20R 莓想好（狗剩版）Lolita原创设计巧克力色连衣裙
¥
1
700+人付款
广东
广州
包邮
莓想好Lolita原创",https://item.taobao.com/item.htm?id=1008251541007&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000DslV6CtWwLeg28PNvGYtsCoy9rop-rCcBS9PA1hv70E&skuId=null&priceTId=2147800a17702049094595851e1b8c&utparam=%7B%22aplus_abtest%22%3A%2282aa99b7894259260e3c67a35c8348c7%22%7D&spm=a21n57.1.item.2,暴力提取
连衣裙,"美拉德穿搭气质针织连衣裙子巨好看冬装一整套裙韩系miu系毛衣裙
¥
79
.9
400+人付款
广东
广州
热销爆款
包邮
5年老店
仙莲儿服饰旗舰店",https://detail.tmall.com/item.htm?id=997890834757&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000JeFEKGpm1cIiI-SfhPHv3LI-fTzciCahXb-DOA-KOv8&skuId=5981044552219&priceTId=2147800a17702049094595851e1b8c&utparam=%7B%22aplus_abtest%22%3A%228b3639bd9889c2521a52cd8caab85718%22%7D&spm=a21n57.1.item.3,暴力提取
连衣裙,"秋冬大码胖mm法式长袖连衣裙仙女收腰甜美雪纺短裙荷叶边蛋糕裙子
¥
43
.1
券后价
2000+人付款
广东
官方立减12%
3期
退货宝
回头客7万
Hello hello大码女装",https://item.taobao.com/item.htm?id=727400898849&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000aRC3r6jTAvhzKMYvJhzeStfo9mlycjkS_NgGTStTdaM&skuId=5043423528984&priceTId=2147800a17702049094595851e1b8c&utparam=%7B%22aplus_abtest%22%3A%2281ba02400eacb262a1c946b129a1c545%22%7D&spm=a21n57.1.item.4,暴力提取
连衣裙,"纯欲辣妹紧身包臀裙秋冬女内搭斜肩针织毛衣修身短款长袖
¥
34
.7
券后价
1000+人付款
浙江
官方立减12%
退货宝
48小时内发
回头客60万
嘉兴市濮院毛衫厂",https://item.taobao.com/item.htm?id=832521816201&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000EGhtvRuXy0ySRBLNP9tywmYdL3dphtmUEblTlr-1wa4&skuId=5576914845298&priceTId=2147800a17702049094595851e1b8c&utparam=%7B%22aplus_abtest%22%3A%22668fa13e5c33057cc5050596455911d1%22%7D&spm=a21n57.1.item.5,暴力提取
连衣裙,"法式小香风针织连衣裙子女2026新款超火冬装一整套装裙千金感穿搭
¥
72
.9
券后价
600+人付款
广东
超级立减9元
退货宝
包邮
12年老店
亲亲鸟服饰旗舰店",https://detail.tmall.com/item.htm?id=1008552283619&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=00007_5uzlSN6vVPnSrmdApbQGwceund-lYexzAPnlumCiA&skuId=6175141806170&priceTId=2147800a17702049094595851e1b8c&utparam=%7B%22aplus_abtest%22%3A%2293a04b893d359693234b339bf04ca164%22%7D&spm=a21n57.1.item.6,暴力提取
连衣裙,"2024禁欲系女装2024新款高领毛衣针织无袖连衣裙性感纯欲风裙子
¥
35
.1
券后价
2000+人付款
江苏
官方立减12%
包邮
娅典魅旗舰店",https://detail.tmall.com/item.htm?id=789404771947&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000pQRsUBS6Wi-QpFrtW3YidxzO_ChPH-HX1S_dgCNKjjA&skuId=5400960437044&priceTId=2147800a17702049094595851e1b8c&utparam=%7B%22aplus_abtest%22%3A%22d8c38ce0daeb565ce8f2925750233624%22%7D&spm=a21n57.1.item.7,暴力提取
连衣裙,"海南三亚海边度假纯欲长裙法式绿色印花扎染抹胸吊带连衣裙女拖地
¥
89
4000+人付款
广东
广州
包邮
回头客1万
港妹GANGMEI",https://item.taobao.com/item.htm?id=912587322845&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000SAH9yZsF3V7Uuz1-7hiLtRAfoP1Tw8yz1oFyBuBv3x8&skuId=6082849767711&priceTId=2147800a17702049094595851e1b8c&utparam=%7B%22aplus_abtest%22%3A%22edc477b53c56b2a14ddea208156e38c7%22%7D&spm=a21n57.1.item.8,暴力提取
连衣裙,"早春法式白色针织连衣裙女富家千金miu系穿搭特别漂亮掐腰小裙子
¥
20
.06
券后价
31人付款
广东
官方立减12%
包邮
6年老店
裳依依旗舰店",https://detail.tmall.com/item.htm?id=1011852622573&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=000004-i8347dhjFiGz68Atg9f59cf3hFg1PUqufs1ojeV4&skuId=6179676218410&priceTId=2147800a17702049094595851e1b8c&utparam=%7B%22aplus_abtest%22%3A%22027956435fe19b7f3046a45672b4666d%22%7D&spm=a21n57.1.item.9,暴力提取
连衣裙,"性感御姐风抹胸女衣服纯欲火辣游山恋露背裙蓝色连衣裙一字肩长袖
¥
19
.3
券后价
100+人付款
江苏
官方立减12%
退货宝
包邮
铭品甄选铺",https://item.taobao.com/item.htm?id=1014419747982&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000c0vvnQC1aVxD_CepvC-aJvE6Tk_ksP1A5Rr_X2HzPGM&skuId=6194418567298&priceTId=2147800a17702049094595851e1b8c&utparam=%7B%22aplus_abtest%22%3A%229d4723a9796a181d81f83cad2cff0dbe%22%7D&spm=a21n57.1.item.10,暴力提取
连衣裙,"法式露肩蝴蝶结黑色针织连衣裙女秋冬穿搭高级感修身显瘦包臀短裙
¥
48
.7
券后价
2000+人付款
广东
官方立减12%
3期
退货宝
欣儿 STUDIOS",https://item.taobao.com/item.htm?id=983605562645&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000QYKtb2DUNYoE1Va3zbW7ukBozR8Y-C2zfOJNJ2D2cBk&skuId=6111758247445&priceTId=2147800a17702049094595851e1b8c&utparam=%7B%22aplus_abtest%22%3A%229b5ef39c0a171772d27517a764f9843c%22%7D&spm=a21n57.1.item.11,暴力提取
连衣裙,"小香风长袖针织连衣裙子女秋季2025新款高级感韩系穿搭一整套长裙
¥
79
.91
券后价
4000+人付款
退货宝
48小时内发
包邮
回头客60万
嘉兴市濮院毛衫厂",https://item.taobao.com/item.htm?id=982008027037&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000Axc9Dz9ZiABwGpQqGCgvN-mnJwpISS0dC65garSF2KM&skuId=6108833310847&priceTId=2147800a17702049094595851e1b8c&utparam=%7B%22aplus_abtest%22%3A%22397f5a1db17bd817e0293f6708bd9e9d%22%7D&spm=a21n57.1.item.12,暴力提取
连衣裙,"大码法式针织连衣裙女早秋显瘦v领打底小黑裙赫本风胖mm垂感裙子
¥
59
.3
券后价
600+人付款
广东
超级立减10%
退货宝
包邮
回头客100万
叽咕叽咕家大码女装",https://item.taobao.com/item.htm?id=740953885633&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000nGMQJ7Jz3FkpC2uahFou_hLG98wLMwOaRK6GIHincWg&skuId=6098706250078&priceTId=2147800a17702049094595851e1b8c&utparam=%7B%22aplus_abtest%22%3A%22891c3f9bc482ef526c72681b4ee26ce1%22%7D&spm=a21n57.1.item.13,暴力提取
连衣裙,"法式辣妹风蝴蝶结露肩针织连衣裙女秋冬新款收腰显瘦打底包臀裙子
¥
65
.8
首单价
900+人付款
广东
官方立减12%
直降4元
退货宝
回头客1万
草莓熊JK制服馆",https://item.taobao.com/item.htm?id=993761030247&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000NHq8TIcz9h44XMEv9twvHyhto52AX8FOKO70JzECkTs&skuId=5970706964302&priceTId=2147800a17702049094595851e1b8c&utparam=%7B%22aplus_abtest%22%3A%22dc115020b9547747b4855ecc05211e96%22%7D&spm=a21n57.1.item.14,暴力提取
连衣裙,"法式气质高级感收腰假两件连衣裙子女秋季复古韩系显瘦赫本风长裙
¥
68
.2
券后价
300+人付款
广东
官方立减12%
退货宝
包邮
对梦思旗舰店",https://detail.tmall.com/item.htm?id=975265293583&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=000067vHZhMObKxr_bRp_vUkrJOdrTEK85JyK1_cxonruaA&skuId=6093377386114&priceTId=2147800a17702049094595851e1b8c&utparam=%7B%22aplus_abtest%22%3A%22773abd3ec42fe65d7dcfd62db47d0bb9%22%7D&spm=a21n57.1.item.17,暴力提取
连衣裙,"法式小资挂脖露肉黑色长袖连衣裙女装冬季新款特别漂亮掐腰短裙子
¥
52
.78
券后价
200+人付款
广东
官方立减12%
退货宝
48小时内发
回头客4万
VIVIQ STUDIO",https://item.taobao.com/item.htm?id=998016727906&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000gs34qv8tqRU5umqFMSIXB2E0aeYNMCYxxhZSZ1qINbQ&skuId=5983199660301&priceTId=2147800a17702049094595851e1b8c&utparam=%7B%22aplus_abtest%22%3A%22201e9fb017674e39fe1d7aa952bac85c%22%7D&spm=a21n57.1.item.18,暴力提取
连衣裙,"秋季新款小个子复古格纹背心连衣裙+针织长袖上衣学生女时尚套装
¥
34
.88
券后价
500+人付款
广东
官方立减12%
退货宝
包邮
8年老店
依依不舍时尚潮流女装店",https://item.taobao.com/item.htm?id=834284822632&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=00009dqtVCfh5wRIdrK960XVtQryEgkLoVF5Hp-kFWw30Lg&skuId=5752245042716&priceTId=2147800a17702049094595851e1b8c&utparam=%7B%22aplus_abtest%22%3A%2254d86864b7b21e318230c64ae41957d6%22%7D&spm=a21n57.1.item.19,暴力提取
连衣裙,"大码学院风蕾丝长袖假两件连衣裙2025秋新款高腰裙子胖mm遮肚显瘦
¥
95
.9
券后价
900+人付款
广东
超级立减10%
退货宝
包邮
回头客100万
叽咕叽咕家大码女装",https://item.taobao.com/item.htm?id=838239239584&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000Uxx32E9zjottGp93iY29z-23QXvS5lC_fkqld8z_p_U&skuId=5934609749965&priceTId=2147800a17702049094595851e1b8c&utparam=%7B%22aplus_abtest%22%3A%22294ad373f2ef8dd1a6e007e23eaab3e0%22%7D&spm=a21n57.1.item.20,暴力提取
连衣裙,"假两件连衣裙长袖女早秋穿搭2026新款灯芯绒绿色小众设计感长裙子
¥
77
.3
券后价
800+人付款
广东
官方立减12%
24小时内发
退货宝
Daisy工作室",https://item.taobao.com/item.htm?id=979596937803&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000V3QllZm-fugZtGBUM4c-3ktCKW9f_4urCnQTr2tIt4c&skuId=5935022168015&priceTId=2147800a17702049094595851e1b8c&utparam=%7B%22aplus_abtest%22%3A%22164a1c7206897cf747c7749b165afee3%22%7D&spm=a21n57.1.item.21,暴力提取
连衣裙,"千金风甜美连衣裙女秋冬巨好看学院风高级感公主裙子收腰毛呢外套
¥
148
券后价
1000+人付款
广东
官方立减12%
退货宝
包邮
回头客2万
柒分甜",https://item.taobao.com/item.htm?id=997552995012&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=00006Ojvq-u9l2U7zihB5hTvKNX4Ie8a7LCsFl3px3uQUSU&skuId=6147513566894&priceTId=2147800a17702049094595851e1b8c&utparam=%7B%22aplus_abtest%22%3A%22fbb86f212568c1339ca213c83cb0ca34%22%7D&spm=a21n57.1.item.22,暴力提取
连衣裙,"2025新款碎花少女莫代尔纯欲性感吊带短款睡裙带胸垫家居服裙子夏
¥
25
.71
券后价
8000+人付款
官方立减12%
店铺满88减5
淘金币已抵0.59元
猫女王 Sexy",https://item.taobao.com/item.htm?id=876387165299&ns=1&abbucket=10&xxc=taobaoSearch&mi_id=0000OV4J2BdpwU6FRU84LH4NaZ0_TiIUDVs36W6Tub-VWVg&skuId=5713648544492&priceTId=2147800a17702049094595851e1b8c&utparam=%7B%22aplus_abtest%22%3A%22e8fd0065453e8fd4c245dc842f120631%22%7D&spm=a21n57.1.item.23,暴力提取
